SKU,pick_count,total_quantity_picked,movement_frequency
36-MFEQFO,22,175,22
36-QT242A,18,72,18
36-QT70,5,28,5
36-QT81,1,11,1
36-S20MFE,42,275,42
36-S23MFE,60,442,60
36-SMFE221,385,4215,385
36-TK2116,351,5676,351
36-TK927,361,3545,361
36-TQ411,245,4210,245
36-TVQFSME,30,305,30
36-WC2EMFE,125,1017,125
3682129217,2030,36331,2030
3682129241,882,66138,882
3682167316,34,335,34
3682167324,21,406,21
3682187216,1883,23182,1883
3682187249,742,58147,742
3682195243,157,7509,157
3682476196,341,15444,341
3682476220,77,2649,77
3682476254,658,37926,658
3682476311,597,34050,597
3682476353,169,5074,169
3682476386,533,34203,533
37-15597,4,22,4
37-27745,1421,9799,1421
37-39593,1197,8005,1197
37-432017,226,9566,226
37-432031,284,10905,284
37-432062,212,8348,212
37-432987,259,9677,259
37-45594,1061,73121,1061
37-65593,1084,68890,1084
37-7745,602,1442,602
37-QSVFCA,1,61,1
3782414121,1732,47490,1732
3782414147,909,24235,909
3782414162,1784,91833,1784
3782414196,1549,40205,1549
3782414212,1626,72718,1626
41-111493,40,2221,40
41-114323,196,6657,196
41-114934,2,81,2
41-120834,426,9158,426
41-121091,617,12129,617
41-121718,482,7074,482
41-122964,389,16786,389
41-125556,349,8054,349
41-126061,300,9827,300
41-128157,323,9032,323
41-128164,503,12830,503
41-129707,24,332,24
41-211396,1081,19103,1081
41-211853,99,1640,99
41-218803,1,0,1
41-221773,18,592,18
41-224934,18,592,18
41-230239,1306,26302,1306
41-230277,1529,32579,1529
41-235449,1,2,1
41-235456,2,8,2
41-236323,4,18,4
41-241099,1,12,1
41-242157,2571,91222,2571
41-243185,684,23494,684
41-278224,810,38181,810
41-278231,4214,190043,4214
41-278255,1641,74692,1641
41-278767,477,14041,477
41-282023,21,449,21
41-283310,1158,56213,1158
41-289770,51,7392,51
41-36633,146,1714,146
41-380276,1436,38030,1436
41-401273,247,7151,247
41-403819,585,16597,585
41-403826,245,8473,245
41-405264,159,2461,159
41-405615,132,5927,132
41-407503,199,6362,199
41-409538,805,20015,805
41-418858,475,5934,475
41-418865,558,7287,558
41-42101,146,3475,146
41-43970,290,4733,290
41-452398,454,15202,454
41-479569,997,38657,997
41-482620,326,9738,326
41-499598,198,3984,198
41-499628,815,28462,815
41-507415,119,5006,119
41-524637,178,6119,178
41-538303,2,24,2
41-538396,141,4695,141
41-57911,633,13528,633
41-820043,154,2329,154
41-842243,617,10722,617
41-918189,1353,6037,1353
41-940375,394,5361,394
41-940382,462,6136,462
41-940548,475,8565,475
41-945257,839,12963,839
41-949552,926,30399,926
41-957335,639,9322,639
41-960747,12,44,12
41-960891,3,35,3
