SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,movement_score,space_requirement_score,storage_priority_score,storage_priority
Q7-9203,UN,CJ,PT,24,7,7,1176,352,6383,352,Medium Movement,0,0.5115094339622641,0.6647169811320754,0.5574716981132075,Medium Priority
Q7-9691,UN,CJ,PT,1,1,1,1,420,4439,420,Medium Movement,0,0.5547169811320755,0.08886792452830189,0.4149622641509434,Medium Priority
Q7-9697,UN,CJ,PT,1,1,1,1,511,7191,511,Medium Movement,0,0.609622641509434,0.08886792452830189,0.45339622641509436,Medium Priority
Q7-9721,UN,CJ,PT,24,7,7,1176,158,2800,158,Medium Movement,0,0.3458490566037736,0.6647169811320754,0.4415094339622641,Medium Priority
Q8-41582,UN,PT, ,1,1,1,1,1,9,1,Low Movement,0,0.004905660377358491,0.08886792452830189,0.03009433962264151,Low Priority
Q8-45043,UN,CJ,PT,1,1,1,1,34,37,34,Low Movement,0,0.13886792452830188,0.08886792452830189,0.12386792452830188,Low Priority
Q8-40394,UN,PT, ,1,1,1,1,271,2262,271,Medium Movement,0,0.45754716981132076,0.08886792452830189,0.3469433962264151,Low Priority
Q9-52103,UN,CJ,PT,10,9,9,810,374,3261,374,Medium Movement,0,0.5249056603773585,0.500754716981132,0.5176603773584906,Medium Priority
Q9-52104,UN,CJ,PT,9,9,9,729,360,3062,360,Medium Movement,0,0.5158490566037736,0.4592452830188679,0.49886792452830186,Medium Priority
Q9-53202,UN,CJ,PT,9,9,9,729,345,3158,345,Medium Movement,0,0.5047169811320755,0.4592452830188679,0.49107547169811316,Medium Priority
Q9-59462,UN,CJ,PT,19,4,15,1140,508,6597,508,Medium Movement,0,0.6083018867924528,0.6447169811320754,0.6192264150943396,Medium Priority
Q9-59463,UN,CJ,PT,19,4,15,1140,558,7254,558,Medium Movement,0,0.6315094339622641,0.6447169811320754,0.6354716981132075,Medium Priority
Q9-59464,UN,CJ,PT,19,4,15,1140,370,5017,370,Medium Movement,0,0.520377358490566,0.6447169811320754,0.5576792452830188,Medium Priority
Q9-59465,UN,CJ,PT,19,4,15,1140,459,6122,459,Medium Movement,0,0.5783018867924529,0.6447169811320754,0.5982264150943396,Medium Priority
Q9-59466,UN,CJ,PT,19,4,15,1140,479,6239,479,Medium Movement,0,0.5915094339622642,0.6447169811320754,0.6074716981132076,Medium Priority
Q9-59467,UN,CJ,PT,19,4,15,1140,260,3405,260,Medium Movement,0,0.4486792452830189,0.6447169811320754,0.5074905660377358,Medium Priority
Q9-59468,UN,CJ,PT,19,4,15,1140,532,7649,532,Medium Movement,0,0.6188679245283019,0.6447169811320754,0.6266226415094339,Medium Priority
Q9-59472,UN,CJ,PT,19,4,15,1140,527,7006,527,Medium Movement,0,0.6156603773584906,0.6447169811320754,0.624377358490566,Medium Priority
QH-115061,UN,CJ,PT,1,1,1,1,254,4378,254,Medium Movement,0,0.44245283018867926,0.08886792452830189,0.33637735849056605,Low Priority
QH-115078,UN,CJ,PT,1,1,1,1,253,4220,253,Medium Movement,0,0.44150943396226416,0.08886792452830189,0.3357169811320755,Low Priority
QH-117349,UN,CJ,PT,16,29,6,2784,528,6607,528,Medium Movement,0,0.6166037735849057,0.8615094339622642,0.6900754716981132,Medium Priority
QH-117479,UN,CJ,PT,16,29,6,2784,2038,33814,2038,High Movement,1,0.9045283018867925,0.8615094339622642,0.8916226415094339,High Priority
QH-119978,UN,CJ,PT,24,10,6,1440,60,766,60,Low Movement,0,0.20018867924528302,0.7405660377358491,0.36230188679245284,Low Priority
QH-119015,EX,CJ,PT,4,8,28,896,3848,98939,3848,High Movement,3,0.9694339622641509,0.5454716981132075,0.8422452830188679,High Priority
