SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster
EQ-15886,UN,CJ,PT,1,1,1,1,1338,85802,1338,High Movement,1
EQ-15893,UN,CJ,PT,1,1,1,1,1305,39423,1305,High Movement,1
EQ-15916,UN,CJ,PT,1,1,1,1,1085,37730,1085,High Movement,1
EQ-20750,UN,CJ,PT,1,1,1,1,373,8611,373,Medium Movement,0
EQ-20873,UN,CJ,PT,1,1,1,1,365,11037,365,Medium Movement,0
EQ-72828,UN,CJ,PT,1,1,1,1,265,7799,265,Medium Movement,0
EQ-72820,UN,CJ,PT,1,1,1,1,267,17079,267,Medium Movement,0
EQ-72833,UN,CJ,PT,1,1,1,1,217,5617,217,Medium Movement,0
F6-2111614,UN,CJ,PT,19,9,8,1368,115,17548,115,Low Movement,0
F6-29222,UN,CJ,PT,12,5,5,300,407,5668,407,Medium Movement,0
F6-29232,UN,CJ,PT,20,6,6,720,17,194,17,Low Movement,0
F6-29244,UN,CJ,PT,12,5,5,300,184,2609,184,Medium Movement,0
F6-29428,UN,CJ,PT,17,4,7,476,275,3290,275,Medium Movement,0
F6-29431,UN,CJ,PT,20,6,6,720,193,2150,193,Medium Movement,0
F6-29441,UN,CJ,PT,14,4,7,392,152,1987,152,Medium Movement,0
F6-29445,UN,CJ,PT,14,4,7,392,99,1273,99,Low Movement,0
F6-29402,UN,CJ,PT,17,4,7,476,94,1403,94,Low Movement,0
F6-29534,UN,CJ,PT,14,4,7,392,202,2906,202,Medium Movement,0
F6-29535,UN,CJ,PT,21,6,6,756,211,2760,211,Medium Movement,0
F6-29537,UN,CJ,PT,20,6,6,720,7,62,7,Low Movement,0
F6-29586,UN,CJ,PT,20,6,6,720,273,3792,273,Medium Movement,0
F6-29593,UN,CJ,PT,19,9,8,1368,11,120,11,Low Movement,0
F6-29663,UN,CJ,PT,19,6,6,684,176,2100,176,Medium Movement,0
F6-29664,UN,CJ,PT,13,5,5,325,136,1812,136,Low Movement,0
F6-29665,UN,CJ,PT,15,5,5,375,55,658,55,Low Movement,0
F6-29668,UN,CJ,PT,19,9,8,1368,168,1231,168,Medium Movement,0
F645012213,UN,CJ,PT,12,6,4,288,3551,83364,3551,High Movement,3
F645012221,UN,CJ,PT,16,8,5,640,2738,59929,2738,High Movement,1
F645012239,UN,CJ,PT,21,6,9,1134,2314,58856,2314,High Movement,1
F645012262,UN,CJ,PT,17,8,5,680,1548,28069,1548,High Movement,1
F645012270,UN,CJ,PT,21,6,9,1134,1300,24075,1300,High Movement,1
F6-523622,UN,CJ,PT,1,1,1,1,45,703,45,Low Movement,0
F6-52416,UN,CJ,PT,1,1,1,1,115,14734,115,Low Movement,0
F7-11748,UN,CJ,PT,23,12,13,3588,742,14887,742,High Movement,0
F7-170839,UN,CJ,PT,24,9,9,1944,1275,26426,1275,High Movement,1
F7-170853,UN,CJ,PT,21,8,8,1344,3419,97904,3419,High Movement,3
F7-170860,UN,CJ,PT,14,8,8,896,4813,154554,4813,High Movement,3
F7-170877,UN,CJ,PT,24,9,9,1944,1865,46781,1865,High Movement,1
F7-170884,UN,CJ,PT,24,10,10,2400,1309,34527,1309,High Movement,1
G9-521,UN,CJ,PT,20,7,7,980,462,15371,462,Medium Movement,0
G9-522,UN,CJ,PT,18,7,7,882,481,10501,481,Medium Movement,0
G973821151,UN,CJ,PT,18,7,7,882,1233,26235,1233,High Movement,1
G973821176,UN,CJ,PT,20,7,7,980,515,19183,515,Medium Movement,0
G973821100,UN,CJ,PT,19,7,7,931,1228,27486,1228,High Movement,1
G0-119612,UN,CJ,PT,10,10,3,300,1161,45498,1161,High Movement,1
G0-119613,UN,CJ,PT,10,10,3,300,931,36836,931,High Movement,0
G0-119614,UN,CJ,PT,10,10,3,300,869,33987,869,High Movement,0
G0-119615,UN,CJ,PT,19,10,3,570,759,27139,759,High Movement,0
G0-119616,UN,CJ,PT,10,10,3,300,292,10914,292,Medium Movement,0
G0-128112,UN,CJ,PT,25,13,13,4225,1356,30964,1356,High Movement,1
G0-128113,UN,CJ,PT,12,10,3,360,1126,28017,1126,High Movement,1
G0-128114,UN,CJ,PT,12,7,5,420,1007,24108,1007,High Movement,0
G0-128115,UN,CJ,PT,25,13,13,4225,801,18512,801,High Movement,0
G0-128116,UN,CJ,PT,24,13,13,4056,396,9862,396,Medium Movement,0
